Date,Time of day (hh:mm),Water intake (dl)
2023-05-16,06:47,2
2023-05-16,07:46,7
2023-05-16,10:37,7
2023-05-16,13:33,7
2023-05-16,15:30,7
2023-05-16,18:19,7
2023-05-16,18:55,7
2023-05-16,19:16,7
2023-05-16,21:59,7
2023-05-17,07:14,7
2023-05-17,07:34,7
2023-05-17,11:13,7
2023-05-17,13:40,7
2023-05-17,15:39,7
2023-05-17,18:19,7
2023-05-17,19:30,7
2023-05-17,21:51,7
2023-05-17,22:51,7
2023-05-18,07:26,7
2023-05-18,08:22,7
2023-05-18,12:15,7
2023-05-18,15:17,7
2023-05-18,17:14,7
2023-05-18,19:47,7
2023-05-18,21:57,7
2023-05-19,09:44,7
2023-05-19,10:09,7
2023-05-19,12:50,7
2023-05-19,13:13,7
2023-05-19,15:57,7
2023-05-19,17:10,7
2023-05-19,20:19,7
2023-05-19,23:12,7
2023-05-20,10:16,7
2023-05-20,12:24,7
2023-05-20,13:49,7
2023-05-20,16:24,7
2023-05-20,20:30,7
2023-05-20,21:32,7
2023-05-20,23:31,7
2023-05-21,10:04,7
2023-05-21,10:57,7
2023-05-21,12:39,7
2023-05-21,13:30,7
2023-05-21,14:14,7
2023-05-21,16:27,7
